divergence,no_jko_mean,no_jko_std,tau_0_01_mean,tau_0_01_std,tau_1_mean,tau_1_std,tau_100_mean,tau_100_std
ckMMD,13.96,0.56,129.38,5.19,12.78,0.88,14.12,0.67
chi2,15.60,0.36,22.26,0.57,15.01,0.12,15.87,0.82
KL,15.78,0.78,26.94,2.26,15.47,0.63,17.28,1.81
KL-DV,16.68,0.85,25.19,0.28,16.56,0.67,16.88,0.74
MMD,49.39,13.48,28.36,0.72,15.76,0.08,21.43,2.58
Shannon,14.60,0.53,32.24,1.63,15.92,0.40,15.23,0.87
sMMD,59.79,7.79,135.27,10.58,26.79,0.23,55.59,8.22
Wasserstein-1,35.37,8.28,22.66,1.08,28.91,0.99,35.35,3.01
